 Tabela de Encode ASCII
 ======================
 
 
Decimal	Hexadecimal		UTF-16					UTF-32								Símbolo		Interpretação
0		0x00			\xff\xfe\x00\x00		\xff\xfe\x00\x00\x00\x00\x00\x00	NULL		Null
1		0x01			\xff\xfe\x01\x00		\xff\xfe\x00\x00\x01\x00\x00\x00	SOH			Start of Heading
2		0x02			\xff\xfe\x02\x00		\xff\xfe\x00\x00\x02\x00\x00\x00	STX			Start of Text
3		0x03			\xff\xfe\x03\x00		\xff\xfe\x00\x00\x03\x00\x00\x00	ETX			End of Text
4		0x04			\xff\xfe\x04\x00		\xff\xfe\x00\x00\x04\x00\x00\x00	EOT			End of Transmission
5		0x05			\xff\xfe\x05\x00		\xff\xfe\x00\x00\x05\x00\x00\x00	ENQ			Enquiry
6		0x06			\xff\xfe\x06\x00		\xff\xfe\x00\x00\x06\x00\x00\x00	ACK			Acknowledge (Confirmação)
7		0x07			\xff\xfe\x07\x00		\xff\xfe\x00\x00\x07\x00\x00\x00	BEL			Bel  (Bip)
8		0x08			\xff\xfe\x08\x00		\xff\xfe\x00\x00\x08\x00\x00\x00	BS			Backspace
9		0x09			\xff\xfe\x09\x00		\xff\xfe\x00\x00\x09\x00\x00\x00	HT			Horizontal Tab
10		0x0A			\xff\xfe\x0A\x00		\xff\xfe\x00\x00\x0A\x00\x00\x00	LF			New Line or Line Feed
11		0x0B			\xff\xfe\x0B\x00		\xff\xfe\x00\x00\x0B\x00\x00\x00	VT			Vertical Tab
12		0x0C			\xff\xfe\x0C\x00		\xff\xfe\x00\x00\x0C\x00\x00\x00	FF			Form Feed
13		0x0D			\xff\xfe\x0D\x00		\xff\xfe\x00\x00\x0D\x00\x00\x00	CR			Carriage Return
14		0X0E			\xff\xfe\x0E\x00		\xff\xfe\x00\x00\x0E\x00\x00\x00	SO	 		Shift Out
15		0x0F			\xff\xfe\x0F\x00		\xff\xfe\x00\x00\x0F\x00\x00\x00	SI	 		Shift In
16		0x10			\xff\xfe\x10\x00		\xff\xfe\x00\x00\x10\x00\x00\x00	DLE	 		Data Link Escape
17		0x11			\xff\xfe\x11\x00		\xff\xfe\x00\x00\x11\x00\x00\x00	DC1	 		Device Control 1
18		0x12			\xff\xfe\x12\x00		\xff\xfe\x00\x00\x12\x00\x00\x00	DC2	 		Device Control 2
19		0x13			\xff\xfe\x13\x00		\xff\xfe\x00\x00\x13\x00\x00\x00	DC3	 		Device Control 3
20		0x14			\xff\xfe\x14\x00		\xff\xfe\x00\x00\x14\x00\x00\x00	DC4	 		Device Control 4
21		0x15			\xff\xfe\x15\x00		\xff\xfe\x00\x00\x15\x00\x00\x00	NAK	 		Negative Ack
22		0x16			\xff\xfe\x16\x00		\xff\xfe\x00\x00\x16\x00\x00\x00	SYN	 		Synchronous Idle
23		0x17			\xff\xfe\x17\x00		\xff\xfe\x00\x00\x17\x00\x00\x00	ETB	 		End of Transmission Block
24		0x18			\xff\xfe\x18\x00		\xff\xfe\x00\x00\x18\x00\x00\x00	CAN	 		Cancel
